id;name;rate;account_id;active;household_id;utility_provider_id
1;Електропостачання;2.64;24098691;true;1;1
2;Газ;7.96;160084488;true;1;2
3;Доставка газу;128.56;0710399281;true;1;3
4;Вода;28.24;чорновола 128А/24;true;1;4
5;Інтернет;250;чорновола 128А/24;true;1;5
6;Охорона;280;чорновола 128А/24;true;1;6
7;Вивіз сміття;37.2;чорновола 128А/24;true;1;7
8;Домофон;29;чорновола 128А/24;true;1;8
9;Квартплата;115.72;чорновола 128А/24;true;1;9
10;Електропостачання;2.64;невідомо;true;2;1
11;Електропостачання;2.64;невідомо;true;3;1
12;Електропостачання;2.64;невідомо;true;4;1
13;Електропостачання;2.64;невідомо;true;5;1
14;Електропостачання;2.64;невідомо;true;6;1
