id;consumption;date;household_utility_id
1;112;2023-10-01;1
2;86;2023-09-01;1
3;72;2023-08-01;1
4;56;2023-07-01;1
5;87;2023-06-01;1
6;91;2023-05-01;1
7;109;2023-04-01;1
8;107;2023-03-01;1
9;121;2023-02-01;1
10;121;2023-01-01;1
11;123;2022-12-01;1
12;104;2022-11-01;1
13;105;2022-10-01;1
14;76;2022-09-01;1
15;33;2022-08-01;1
16;45;2022-07-01;1
17;46;2022-06-01;1
18;33;2022-05-01;1
19;32;2022-04-01;1
20;41;2022-03-01;1
21;127;2022-02-01;1
22;159;2022-01-01;1
23;158;2021-12-01;1
24;96;2021-11-01;1
25;144;2021-10-01;1
26;80;2021-09-01;1
27;84;2021-08-01;1
28;107;2021-07-01;1
29;47;2021-06-01;1
30;132;2021-05-01;1
31;127;2021-04-01;1
32;151;2021-03-01;1
33;136;2021-02-01;1
34;138;2021-01-01;1
35;197;2020-12-01;1
36;132;2020-11-01;1
37;144;2020-10-01;1
38;105;2020-09-01;1
39;84;2020-08-01;1
40;107;2020-07-01;1
41;105;2020-06-01;1
42;63.64;2023-10-01;2
43;20;2023-09-01;2
44;9.23;2023-08-01;2
45;1.98;2023-07-01;2
46;20.81;2023-06-01;2
47;37.09;2023-05-01;2
48;68.29;2023-04-01;2
49;62.2;2023-03-01;2
50;104.2;2023-02-01;2
51;125.22;2023-01-01;2
52;159.73;2022-12-01;2
53;103.97;2022-11-01;2
54;51.78;2022-10-01;2
55;23.81;2022-09-01;2
56;0.62;2022-08-01;2
57;4.05;2022-07-01;2
58;1;2022-06-01;2
59;1;2022-05-01;2
60;1;2022-04-01;2
61;25;2022-03-01;2
62;111.51;2022-02-01;2
63;154.69;2022-01-01;2
64;155.02;2021-12-01;2
65;126.52;2021-11-01;2
66;86.4;2021-10-01;2
67;161.66;2020-12-01;2
68;96.16;2020-11-01;2
69;12.02;2020-08-01;2
70;21.85;2020-07-01;2
71;28.37;2020-06-01;2
72;45.79;2020-05-01;2
73;44.72;2020-04-01;2
74;87.84;2020-03-01;2
75;150.93;2020-02-01;2
76;128.82;2020-01-01;2
77;206.51;2019-12-01;2
78;118.24;2019-11-01;2
79;67.14;2019-10-01;2
80;19.02;2019-09-01;2
81;15.95;2019-08-01;2
82;59.79;2019-05-01;2
83;61.41;2019-04-01;2
84;110.3;2019-03-01;2
85;155.1;2019-02-01;2
86;188.32;2019-01-01;2
87;164.46;2018-12-01;2
88;28.31;2018-10-01;2
89;37.94;2018-09-01;2

